Stufe;Prüfungs-Satz;Frage;Antwort 1;Antwort 2;Antwort 3
Silber;Satz D;Wie sind Erste-Hilfe-Leistungen zu dokumentieren?;Meldeblock bzw. Verbandbuch*;Einsatzsofortmeldung;Nur mündlich gegenüber dem_der OB
Silber;Satz D;Wie muss ich mich im Einsatz bei Hitze verhalten?;Viel trinken*;Pause in der Sonne;Pause im Schatten*
Silber;Satz D;Wie lang ist ein Sicherheitsseil?;15 m;30 m*;35 m
Silber;Satz D;Wohin greifen die Hände beim Besteigen von Leitern?;Um die Sprossen*;Um die Holme;Um die Sprossen oder um die Holme
Silber;Satz D;Mit welchem Betriebsstoff wird der Motor des mobilen Stromerzeugers 8 kVA betrieben?;Kraftstoff/Öl-Gemisch;Diesel;Benzin*
Silber;Satz D;Welche der aufgeführten Werkzeuge sind Holzbearbeitungswerkzeuge?;Zugmesser*;Spitzmeißel;Stangen-Schlangenbohrer*
Silber;Satz D;Wie wird eine Bauklammer in Holz geschlagen?;Durch wechselseitige Schläge über den rechtwinklig abgebogenen Spitzen*;Durch Schläge auf die Mitte des Flach- oder Rundstahls;Durch wechselseitige Schläge auf die Mitte und die rechtwinklig abgebogenen Spitzen
Silber;Satz D;Worauf ist bei der Verwendung von Hämmern zu achten?;Auf festen Sitz von Stiel und Keil*;Der Stiel muss lackiert sein;Das Hammergewicht muss den Vorschriften entsprechen
Silber;Satz D;Wo sind die Scherstifte im Zuggerät eingebaut?;Am Rückzughebel;An den Klemmbacken;Am Vorschubhebel*
Silber;Satz D;Wie weit muss das Hebekissen mit seiner Fläche mindestens unter die Last eingeschoben werden?;2/3 bzw. 3/4 der Kissenfläche*;1/2 bzw. 1/3 der Kissenfläche;1/3 bzw. 4/5 der Kissenfläche
Silber;Satz D;Was ist beim Durchschreiten unbekannter Gewässer als erste Maßnahme durchzuführen?;Übergangsstelle kennzeichnen;Beschaffenheit der Übergangsstelle feststellen (Tiefen loten);Erkundende Helfer_innen sichern*
Silber;Satz D;Was ist bei der Verwendung eines Wasser führenden Schlauches über die Straße zu beachten?;Die Straße ist zu sperren;Schläuche sind immer an der gleichen Stelle zu überqueren;Es sind ausschließlich Schlauchbrücken zu verwenden*
Silber;Satz D;Welche Schutzmaßnahme ist vor dem Betreten von überfluteten Räumen als Erstes zu treffen?;Anlegen von Rettungswesten;Sichern von Treibgut;Sicherstellen, dass die Stromversorgung abgeschaltet wurde*
Silber;Satz D;Was soll bei der Erkundung festgestellt werden?;Ob und wo Menschen in Gefahr sind*;Wie groß der Schadensumfang ist*;Wo und wann ein schnelles Eindringen in die Schadensstelle möglich ist*
Silber;Satz D;Welche Ausstattung dient der Eigensicherung auf Verkehrswegen?;Warnweste*;Warnschilder (dreiseitig, faltbar)*;Leitkegel mit Warnblitzleuchte*
Silber;Satz D;Welche spezielle Schutzausstattung muss der_die Helfer_in zu seiner_ihrer persönlichen Schutzausstattung im Einsatz auf Verkehrswegen anlegen?;Warmer Pullover;Warnweste*;Gehörschutz
Silber;Satz D;Wer darf Medienvertreter_innen gegenüber Aussagen zum Einsatz machen?;Jede_r Helfer_in;Nur der_die Einsatzleiter_in*;Der_die Gruppenführer_in
Silber;Satz D;Was ist beim Retten/Bergen verschütteter Personen zu beachten?;Nachrutschen von Trümmern ist zu verhindern*;Die verletzte Person ist warm zu halten*;"Ein_e Ansprechpartner_in sollte bei der
verletzten Person bleiben*"
Silber;Satz D;"Was bedeutet die Abkürzung ""e.V.""?";Evangelischer Verein;Eingeschränkter Verein;Eingetragener Verein*
Silber;Satz D;Wer steht an der Spitze der Bundesregierung?;Der_die Bundespräsident_in;Der_die Bundeskanzler_in*;Der_die Minister_in für Tourismus
Silber;Satz D;Welcher Fluss fließt nicht durch Deutschland?;Elbe;Weser;Seine*
Silber;Satz E;Welches Gesetz regelt die Mitwirkung der Bundesanstalt THW im erweiterten Katastrophenschutz?;Grundgesetz;Zivilschutz- und Katastrophenhilfegesetz (ZSKG)*;THW-Gesetz*
Silber;Satz E;Welche der nebenstehenden Aufgaben nimmt das THW wahr?;Bau und Instandsetzung von Freileitungen*;Rettung Verschütteter*;Abstützen einsturzgefährdeter Gebäude*
Silber;Satz E;Welche Geräte des Technischen Zuges befinden sich auf dem GKW?;Werkzeugsatz Sprengvorbereitung;Brennschneidgerät*;Benzinhandpumpe
Silber;Satz E;Ab wann kann ein_e Junghelfer_in frühestens die Grundausbildungsprüfung ablegen?;Ab dem 16. Geburtstag*;Ab dem 18. Geburtstag;Mit Eintritt in die Jugendgruppe
Silber;Satz E;Welche persönliche Schutzausstattung hat jede_r Helfer_in immer mitzuführen?;Helm, Sicherheitsstiefel, THW Einsatzhandschuhe, Multifunktionaler Einsatzschutzanzug*;Helm, Multifunktionaler Einsatzschutzanzug, Schutzbrille;Helm, Sicherheitsstiefel, Lederschürze, Multifunktionaler Einsatzschutzanzug
Silber;Satz E;Wie muss ich mich im Einsatz bei Kälte verhalten?;Multifunktionalen Einsatzanzug mit Fleecejacke tragen*;Glühwein trinken;Warme, alkoholfreie Getränke trinken*
Silber;Satz E;Wozu dürfen Sicherheitsseile eingesetzt werden?;Zur Absturzsicherung bei Verwendung eines mitlaufenden Auffanggerätes*;Zum Ablassen und Hochziehen von Personen*;Zum Anschlagen von Lasten
Silber;Satz E;Wie viel Grad Neigung soll der Anstellwinkel von Leitern betragen?;Ca. 45° - 55°;Ca. 65° - 75°*;Ca. 90°
Silber;Satz E;Auf welche Netzspannung sind die Flutlichtleuchten ausgelegt?;12 Volt;24 Volt;230 Volt*
Silber;Satz E;Wozu dient das Zugmesser?;Zum Entrinden*;Zum Entgraten von Metall;Zum Ablängen von Holz
Silber;Satz E;Wie lang muss die Überblattung in Längsrichtung bei einer Holzverbindung sein?;Einfache Höhe (1 x h);Zweifache Höhe (2 x h)*;Halbe Höhe (0,5 x h)
Silber;Satz E;Wie löst man festsitzende Meißel?;Mit dem Stechbeitel;Mit dem Hebe-/Pressgerät, hydraulisch;Durch leichte seitliche Schläge*
Silber;Satz E;"Was ist unter dem Begriff ""Lose Rolle"" zu verstehen?";Querriegel zur Befestigung von Stropps;Kloben (Rolle) an Festpunkt angeschlagen;Kloben (Rolle) an Last angeschlagen*
Silber;Satz E;Welches der genannten Geräte ist kein Zugkraft-Hebezeug?;Brechstange*;Zuggerät;Hydraulischer Spreizer
Silber;Satz E;Welche Druckluftquellen dürfen mit dem Steuerorgan des Hebekissens verbunden werden?;Kfz-Reifenfüllanlage;Kfz-Zweikreisbremssystem*;Druckluftflaschen 200/300 bar*
Silber;Satz E;"Was bedeutet der Begriff ""Oberstrom""?";Oberflächenströmung;In Richtung Quelle bezogene Ortsangabe*;In Richtung Mündung bezogene Ortsangabe
Silber;Satz E;Wie weit soll ein Sandsack nach dem Verschließen gefüllt sein?;Zu ca. 50%;Zu ca. 66%*;Zu ca. 100%
Silber;Satz E;Welche Maßnahmen sind beim Auslaufen unbekannter Flüssigkeiten zu ergreifen?;Flüssigkeit schnellstmöglich aufwischen;Umstehende warnen*;Sofortige Meldung an die zuständige Führungskraft*
Silber;Satz E;Welches Löschmittel darf auf keinen Fall für brennende Öle und Fette verwendet werden?;ABC-Pulverlöscher;Wasser*;Kohlendioxidlöscher
Silber;Satz E;Welche Aufgaben darf das THW eigenständig im Straßenverkehr wahrnehmen?;Eigensicherung und Absicherung der Unfallstelle*;Verkehrskontrollen;Geschwindigkeitsmessung
Silber;Satz E;Was ist mit einem_einer Helfer_in zu tun, der_die infolge des Dienstgeschehens akute Belastungsreaktionen zeigt?;Er_sie ist auf die Versorgungsangebote der Einsatznachsorge hinzuweisen. / Unterstützung ist zu veranlassen.*;Man sollte ihn_sie alleine lassen;Alle Helfer_innen der Gruppe informieren
Silber;Satz E;Wann wurde die THW-Jugend e.V. gegründet?;1994;1984*;1953
Silber;Satz E;Wie viele Landesjugenden gibt es?;8;16;13*
Silber;Satz E;Wer wählt den_die Bundespräsident_in?;Alle Bürger_innen;Die Bundesversammlung*;Der Bundestag
Silber;Satz E;Welche Länder grenzen an die Bundesrepublik?;Dänemark*;Luxemburg*;Spanien
Gold;Satz A;Wo sind die Pflichten und Rechte des Helfers festgelegt? ;Grundgesetz;THW-Gesetz*;THW-Mitwirkungsrichtlinie*
Gold;Satz A;Welches sind taktische (Teil-) Einheiten im THW?;Der Technische Zug*;Die Fachgruppe*;Der Regionalbereich
Gold;Satz A;Wer ist zu allgemeinen Hilfeleistungen verpflichtet?;Ausschließlich die Feuerwehren;Alle*;Ausschließlich ausgebildete Helfer_innen
Gold;Satz A;Was sind Bestandteile der THW Fachbefähigung?;Bereichsausbildung*;Auslandsausbildung*;Führungsausbildung*
Gold;Satz A;Was muss der_die Helfer_in bei der Anfahrt zur Unterkunft beachten?;Der_die Helfer_in hat keine Sonderrechte*;Es gilt die Straßenverkehrsordnung*;Hupe und Warnblinkanlage betätigen
Gold;Satz A;Welche persönliche Schutzausstattung hat jede_r Helfer_in immer mitzuführen?;Helm, Sicherheitsstiefel, THW Einsatzhandschuhe, Multifunktionaler Einsatzschutzanzug*;Helm, Multifunktionaler Einsatzschutzanzug, Schutzbrille;Helm, Sicherheitsstiefel, Lederschürze, Multifunktionaler Einsatzschutzanzug
Gold;Satz A;Woran kann ich die Gefährdung, die von einem Gefahrguttransport ausgeht, eindeutig erkennen?;Kennzeichnung an den Verpackungen;Fahrzeugkennzeichnung, mitgeführte Fahrzeugpapiere und Merkblätter*;Durch Befragung des Fahrers_der Fahrerin
Gold;Satz A;Welche Bedeutung hat die obere Nummernkombination auf einer orangefarbenen Kennzeichnung (Warntafel) z. B. an einem LKW?;Nummer zur Kennzeichnung des Gutes (UN-Nummer);Nummer zur Kennzeichnung der Gefahr*;Fahrzeugkennzeichen
Gold;Satz A;Was bedeutet „Prävention“ im Kontext von Arbeitssicherheit und Gesundheitsschutz?;Krebsvorsorge;Verhütung von Unfällen und Krankheiten*;Versicherungsschutz
Gold;Satz A;"Was bedeutet die ""GAMS-Regel""? ";Leiter_in der Regionalstelle informieren, Ausfahrt melden, Mitfahrende einweisen, schnell zum Einsatzort;Gefährdungsbeurteilung durchführen, Absuchen der Randtrümmer, Menschenrettung vorbereiten, Sanitätsdienst anfordern;Gefahren erkennen, Absperrren, Menschenrettung, Spezialkräfte anfordern*
Gold;Satz A;Worauf ist zu achten, wenn Leinen und Seile über Kanten geführt werden müssen?;Auf Gleitschutz;Auf Kantenschutz*;Auf Leinen-/Seilschutz
Gold;Satz A;Wohin greifen die Hände beim Besteigen von Leitern?;Um die Sprossen;Um die Holme*;Um die Sprossen oder um die Holme
Gold;Satz A;Dürfen an einem tragbaren Stromerzeuger 8 kVA eine Tauchpumpe mit 4 kW und eine mit 3 kW gleichzeitig betrieben werden?;Ja;Nein*;Für maximal 10 Minuten
Gold;Satz A;Was ist beim Rückbau einer Flutlichtleuchte mit Stativ zu beachten?;Leuchtmittel muss abkühlen*;Spannungsfreiheit herstellen*;"Sicherungsautomat auf Stellung ""AUS"" stellen"
Gold;Satz A;Wie groß darf die maximale Länge einer Leitung an tragbaren Stromerzeugern sein?;200 m;300 m;100 m*
Gold;Satz A;Wozu dient das Zugmesser?;Zum Entrinden;Zum Entgraten von Metall*;Zum Ablängen von Holz
Gold;Satz A;Worauf musst du beim Umgang mit Holzbearbeitungsgeräten achten?;Auf festen Sitz der Stiele*;Auf ausreichende Schneidfähigkeit*;Auf ausreichenden Sicherheitsabstand zum zur nächsten Helfer_in*
Gold;Satz A;Wie lang muss die Überblattung in Längsrichtung bei einer Holzverbindung sein?;Einfache Höhe (1 x h);Zweifache Höhe (2 x h);Halbe Höhe (0,5 x h)
Gold;Satz A;Welche zusätzliche Schutzausrüstung ist (neben dem Handschutz) beim Arbeiten mit Fäustel und Meißel unbedingt zu tragen?;Schweißbrille;Schutzbrille;Lederschürze
Gold;Satz A;"Welche Gefahr entsteht durch einen ""Bart"" am Meißelkopf?";Abrutschen des Hammers;Verletzungen durch Absplittern des Bartes*;Bruch des Meißels
Gold;Satz A;Wann ist der Trenn- /Schleifscheibenschutz richtig eingestellt?;Wenn die Werkstoffpartikel von Benutzer_in und Gerät weggelenkt werden*;Wenn der Trenn-/Schleifscheibenschutz mit der Öffnung nach oben zeigt;Wenn der Trenn-/Schleifscheibenschutz mit der Öffnung nach unten zeigt
Gold;Satz A;Welches Material darf als „Hebeldrehpunkt“ bei der Verwendung der Brechstange nicht verwendet werden?;Ziegelsteine;Hohlblocksteine*;Holz
Gold;Satz A;Welches der genannten Geräte ist kein Zugkraft-Hebezeug?;Brechstange*;Zuggerät;Hydraulischer Spreizer
Gold;Satz A;Was ist nach dem Abscheren der Scherstifte beim Zuggerät zu tun?;Das Gerät kann nicht repariert werden;Die Scherstifte sind auszutauschen*;Das Gerät an den Hersteller einschicken
Gold;Satz A;Was ist bei Verwendung einer Druckluftanlage zum Betrieb der Hebekissen zu beachten?;Es muss ein Ölabscheider verwendet werden;Bei Betriebsdruck über 12 bar ist ein Druckminderer zu verwenden*;Druckluftanlagen über 12 bar dürfen nicht verwendet werden
Gold;Satz A;"Was bedeutet der Begriff ""Oberstrom""?";Oberflächenströmung;In Richtung Quelle bezogene Ortsangabe*;In Richtung Mündung bezogene Ortsangabe
Gold;Satz A;Wozu wird eine Quellkade eingesetz?;Zur Deicherhöhung;Zum Verfüllen von Deichschäden;Zum Stoppen der Erosion durch Sickerwasser*
Gold;Satz A;Welche Maßnahmen sind beim Auslaufen unbekannter Flüssigkeiten zu ergreifen?;Flüssigkeit schnellstmöglich aufwischen;Umstehende warnen*;Sofortige Meldung an die zuständige Führungskraft*
Gold;Satz A;Was ist im Einsatz bei der Verpflegung unbedingt zu beachten?;Vor dem Essen Hände waschen*;Selbst mitgebrachtes Essen darf nicht verzehrt werden;Essen und Trinken nur in dafür ausgewiesenen Bereichen*
Gold;Satz A;Was ist beim Einsatz im ungesicherten Verkehrsraum zu beachten?;Warnweste tragen*;Einsatzstelle nach Weisung absichern*;Auf den fließenden Verkehr achten*
Gold;Satz A;Welche Aufgaben darf das THW eigenständig im Straßenverkehr wahrnehmen?;Eigensicherung und Absicherung der Unfallstelle*;Verkehrskontrollen;Geschwindigkeitsmessung
Gold;Satz A;Welche spezielle Schutzausstattung muss beim Einsatz auf Verkehrswegen im Bereich getragen werden?;Warmer Pullover;Warnweste*;Gehörschutz
Gold;Satz A;Wozu dient ein Bereitstellungsraum?;Zur Unterbringung nicht einsatzbefähigter Helfer_innen;Sammelpunkt von Einheiten*;Bereich für Medienvertreter_innen
Gold;Satz A;Was sind typische Stressreaktionen? ;Schweißausbrüche, Tunnelblick, Wut*;Hysterie, Angst, Konzentrationsstörungen*;Erbrechen, Gedächtnisausfälle, Überaktivität*
Gold;Satz A;Was gehört unter anderem zu einer Erkundung?;Ständiges Beobachten der Schadenslage und des Umfeldes*;Ständige Meldungen (beispielsweise des Erkundungstrupps) an den die Vorgesetzte_n – Lageänderungen sofort melden*;Befragen von Personen*
Gold;Satz A;Mit welchem der genannten Löschmittel ist ein Metallbrand (z. B. Aluminium, Magnesium) zu löschen?;ABC-Pulverlöscher;Wasser;Trockener Sand*
Gold;Satz A;In welchem Abstand ist bei kleinen Flüssigkeitsbränden der Handfeuerlöscher zur Brandbekämpfung anzusetzen?;Ca. 1,00 m;Ca. 3,00 m*;Ca. 5,00 m
Gold;Satz A;Was ist beim Arbeiten mit der hydraulischen Schere zu beachten?;Gebrauch der persönlichen und zusätzlichen Schutzausstattung*;Keine Personen im Gefahrenbereich*;Gerät nur für vorgesehene Materialien verwenden*
Gold;Satz A;Darf mit einem Funkgerät bei Gewitter gesendet und empfangen werden?;Ja, innerhalb geschlossener Räume;Nein, in keinem Fall;Ja, in dringenden Notfällen inner- und außerhalb geschlossener Räume (kein Übungsverkehr)*
Gold;Satz A;Wo sitzt der EU-Rat?;Brüssel*;Den Haag;Palermo
Gold;Satz B;Wer von den genannten Funktionsträgern ist Unterführer? ;Der_die Zugführer_in;Der_die Gruppenführer_in*;Der_die Truppführer_in*
Gold;Satz B;Wer ist für den Katastrophenschutz an deinem Standort verantwortlich? ;Der_die zuständige Leiter_in der Regionalstelle;Die Katastrophenschutzbehörde*;Der_die Ortsbeauftragte
Gold;Satz B;Zu welcher (Teil-) Einheit gehört der GKW?;Zugtrupp;Bergungsgruppe*;Fachgruppe Sprengen
Gold;Satz B;Welche der nebenstehenden Aufgaben werden von der Fachgruppe Infrastruktur wahrgenommen?;Betrieb von Notbrunnen*;Instandsetzen von Anlagen/Anlagenteilen in der Hausinstallation inkl. Hausanschluss*;Absperrmaßnahmen bei Ver- und Entsorgungsanlagen auf der Ebene Hausanschluss*
Gold;Satz B;Welche Rechtsform kann eine THWHelfervereinigung haben?;Eingetragene Genossenschaft (e.G.);Eingetragener Verein (e.V.);Keine, weil sie ein Teil der BA THW sind
Gold;Satz B;Was sind die Voraussetzungen, um an einem Einsatz teilnehmen zu können?;Bestandene Grundausbildungsprüfung, gültige Erste-Hilfe-Ausbildung;Mitführen eines gültigen Impfpasses, Bescheinigung der Einsatzbereitschaft durch den_die Leiter_in der Regionalstelle;Gesundheitliche Eingangsuntersuchung, gültiger Impfstatus*
Gold;Satz B;Wer ist für die Bereitstellung der Arbeitsschutzkleidung verantwortlich?;Jede_r Helfer_in selbst;Das THW*;Die Fachgruppe Logistik
Gold;Satz B;Was versteht man unter Arbeitsschutz?;Fürsorge von Vorgesetzten gegenüber den ihnen unterstellten THW-Angehörigen;Erhaltung und Schutz des Arbeitsplatzes bei längerfristiger Erkrankung eines THW-Angehörigen;Selbstfürsorge der THW-Angehörigen im Rahmen ihrer Mitwirkungspflicht*
Gold;Satz B;Wer ist für die Gefährdungsbeurteilung im Ortsverband verantwortlich?;Die Fachkraft für Arbeitssicherheit;Der_die Ortsbeauftragte*;Der_die Schirrmeister_in
Gold;Satz B;Welche Leinen/Seile dürfen zum Sichern von Personen verwendet werden?;Sicherheitsseile*;Arbeitsleinen;Jede Naturfaserleine
Gold;Satz B;Wie groß muss der Sicherheitsabstand bei unter Zug stehenden Drahtseilen mindestens sein?;Halbe Seillänge;Eineinhalbfache Seillänge*;Zweifache Seillänge
Gold;Satz B;Wie viel Grad Neigung soll der Anstellwinkel von Leitern betragen?;Ca. 45° - 55°;Ca. 65° - 75°;Ca. 90°
Gold;Satz B;Auf welche Netzspannung sind die Flutlichtleuchten ausgelegt?;12 Volt;24 Volt;230 Volt
Gold;Satz B;Mit welchem Betriebsstoff wird der Motor des tragbaren Stromerzeugers 8 kVA betrieben?;Kraftstoff-/Öl-Gemisch;Diesel;Benzin*
Gold;Satz B;Was ist beim Aufbau einer Flutlichtleuchte mit Stativ zu beachten?;Möglichst blendfrei aufstellen*;Sicheren Stand des Stativs herstellen*;Leitung stolperfrei verlegen*
Gold;Satz B;Wie lang soll die Spitze eines Holzpfahles sein?;Ca. einfacher Durchmesser des Pfahles;Ca. zweifacher Durchmesser des Pfahles*;Ca. dreifacher Durchmesser des Pfahles
Gold;Satz B;Wie wird eine Bauklammer in Holz geschlagen?;Durch wechselseitige Schläge über den rechtwinklig abgebogenen Spitzen*;Durch Schläge auf die Mitte des Flach- oder Rundstahls;Durch wechselseitige Schläge auf die Mitte und die rechtwinklig abgebogenen Spitzen
Gold;Satz B;Worauf ist bei der Verwendung von Hämmern zu achten?;Auf festen Sitz von Stiel und Keil*;Der Stiel muss lackiert sein;Das Hammergewicht muss den Vorschriften entsprechen
Gold;Satz B;Wie löst man festsitzende Meißel?;Mit dem Stechbeitel;Mit dem Hebe-/Pressgerät, hydraulisch;Durch leichte seitliche Schläge*
Gold;Satz B;Welches Werkzeug kann zum Durchtrennen eines Gussrohres verwendet werden?;Trennschleifer*;Motorkettensäge;Bügelsäge
Gold;Satz B;Welche Schutzausstattung muss beim Gebrauch des Trennschleifers (neben dem Handschutz) unbedingt getragen werden?;Lederschürze, Gürtel;Gummistiefel, Schnittschutzhose;Schutzbrille, Schutzhelm, Lederschürze, Gehörschutz*
Gold;Satz B;Was ist beim Anheben von Lasten zu beachten?;Seilhaken nach dem Anschlagen der Last sichern*;Mit den Händen nicht unter die Last greifen*;Ständiges Beobachten der anzuhebenden Last*
Gold;Satz B;Über welche Druck-, Kraft-, Hebezeuge verfügt die Bergungsgruppe?;Brechstange*;Hebe-/Pressgerät, hydraulisch*;Hebekissen*
Gold;Satz B;Wie weit muss das Hebekissen mit seiner Fläche mindestens unter die Last eingeschoben werden?;2/3 bzw. 3/4 der Kissenfläche*;1/2 bzw. 1/3 der Kissenfläche;1/3 bzw. 4/5 der Kissenfläche
Gold;Satz B;Welche Sicherheitsmaßnahmen sind beim Arbeiten mit Hebekissen zu ergreifen?;Last gegen Wegrutschen sichern*;Last bei fortschreitendem Hub laufend unterbauen*;Hebekissen nicht an scharfen Kanten ansetzen*
Gold;Satz B;Was ist beim Durchschreiten unbekannter Gewässer als erste Maßnahme durchzuführen?;Übergangsstelle kennzeichnen;Beschaffenheit der Übergangsstelle feststellen (Tiefen loten);Erkundende Helfer_innen sichern
Gold;Satz B;Wie sind an besonders gefährdeten Einsatzpunkten am Wasser eingesetzte Helfer_innen zu sichern?;Nur mit Sicherheitsseil;Nur mit Rettungsweste;Mit Sicherungsseil und THW-Rettungsweste*
Gold;Satz B;Was ist sofort zu tun, wenn ausströmendes Gas vermutet wird?;Windrichtung beachten*;Gaskonzentration messen;Meldung an die Führungskraft*
Gold;Satz B;Wie hast du dich als Helfer_in vor, während und nach der Fahrt mit Einsatzfahrzeugen zu verhalten?;Helm nicht in der Hand halten*;Bei Halt des Einsatzfahrzeuges dieses sofort verlassen;Auf- und Absitzen nur auf Anweisung*
Gold;Satz B;Warum besteht an der Einsatzstelle Rauch- und Alkoholverbot? ;Es besteht kein solches Verbot;Erhöhte Selbstgefährdung*;Die Einsatzfähigkeit wird verringert*
Gold;Satz B;Wozu gehört die Abkürzung 5A B C D 5E?;Gefahrstoffkennung nach GHS;Gefahrenmerkschema THW*;Koordinatenangabe im THW
Gold;Satz B;Wer muss über die Gefahren, die aus einem Einsatz entstehen können, informiert sein?;Nur der_die Auftraggeber_in;Nur der_die Einheitsführer_in;Alle Einsatzbeteiligten*
Gold;Satz B;Wer darf Medienvertreter_innen gegenüber Aussagen zum Einsatz machen?;Jede_r Helfer_in;Nur der_die Einsatzleiter_in*;Der_die Gruppenführer_in
Gold;Satz B;Wen unterstützt das ENT?;Ehrenamtliche und hauptamtliche THW-Kräfte*;Nur ehrenamtliche THW-Einsatzkräfte;Nur hauptamtliche THW-Kräfte
Gold;Satz B;Wie können verletzte Personen transportiert werden?;Mit der Krankentrage*;Mit behelfsmäßigen Tragen*;Mit zwei Einsatzkräften auch ohne Hilfsmittel*
Gold;Satz B;Was sind die 5 Phasen der Rettung/Bergung?;Schauen - Sondieren - Selektieren - Verteilen - Retten;Erkunden - Absuchen - Durchforschen - Eindringen - Beräumen*;Erkennen - Bewerten - Entscheiden - Handeln - Evaluieren
Gold;Satz B;Aus welcher Richtung sollen allgemein Brände bekämpft werden?;Mit der Windrichtung;Entgegen der Windrichtung*;Von links nach rechts
Gold;Satz B;Was ist vor der Inbetriebnahme des hydraulischen Rettungssatzes zu überprüfen?;Ölstand auf Maximum*;Kraftstoffbehälter gefüllt*;Höchstdruckschläuche knick- und drallfrei ausgelegt*
Gold;Satz B;Welche Funkstelle ist Funkleitung in einem Sprechfunkverkehrskreis?;Zivilschutzleitstelle;Betriebsleitung;Relaisstelle*
Gold;Satz B;"Seit wann wird der ""Euro"" als Bargeld eingesetzt?";01.01.2002*;31.12.2001;01.01.2000
Gold;Satz C;Welche Aus- und Fortbildungsstufen gibt es im THW? ;Ortsverband, Landesverband und Leitung;Ausbildungszentrum und Standort;Grund-, Fach- und Weiterbefähigung*
Gold;Satz C;Welche Pflichten entstehen für dich durch die Mitwirkung im THW als Helfer_in?;Regelmäßige Teilnahme an Dienstveranstaltungen*;Teilnahme an Ausbildungsmaßnahmen*;Teilnahme an Übungen und Einsätzen*
Gold;Satz C;Welche der nebenstehenden Aufgaben nimmt das THW wahr?;Bau und Instandsetzung von Freileitungen*;Rettung Verschütteter*;Abstützen einsturzgefährdeter Gebäude*
Gold;Satz C;Welche Aufgaben hat der Zugtrupp?;Zugführung und andere Führungsaufgaben*;Verkehrskontrolle durchführen;Lotsenstellen einrichten*
Gold;Satz C;Wem muss ich als Helfer_in meine Mitwirkung im THW mitteilen?;Arbeitgeber_in*;Einwohnermeldeamt;Arbeitsagentur bzw. Jobcenter der Stadt/des Kreises im Falle einer Arbeitslosigkeit*
Gold;Satz C;Wie werden kennzeichnungspflichtige Gefahrguttransporte unter anderem gekennzeichnet?;Orange Warntafel*;Gar nicht;Rote Flagge
Gold;Satz C;Welche Bedeutung hat die untere Nummernkombination auf einer orangefarbenen Kennzeichnung (Warntafel) z. B. an einem LKW?;Nummer zur Kennzeichnung des Gutes (UN-Nummer);Nummer zur Kennzeichnung der Gefahr;Fahrzeugkennzeichen
Gold;Satz C;Wo kann ich Informationen über einen Gefahrstoff erhalten?;Sicherheitsdatenblatt;In der StAN;Auf dem Etikett der Verpackung*
Gold;Satz C;Wie groß sind bei Gefahrstoffunfällen im Regelfall die Radien von Gefahren- und Absperrbereich um das Schadenobjekt?;20 m und 30 m;5 m und nach Bedarf;50 m, 300 m und 500 m*
Gold;Satz C;Wozu dürfen Arbeitsleinen eingesetzt werden?;Zur Absturzsicherung;Zum Ablassen und Hochziehen von Personen;Zum Absperrren oder Anschlagen von Lasten*
Gold;Satz C;Mit welcher Verbindung werden Leinen gleichen Durchmessers verlängert?;Wickelbund;Mastwurf;Doppelstich*
Gold;Satz C;Welche Arten von Leitersicherungen können angewandt werden?;Nur Fußpunktsicherung;Nur Kopfpunktsicherung;Fuß- und/oder Kopfpunktsicherung*
Gold;Satz C;Mit welcher Leistung darf der tragbare Stromerzeuger in der Regel maximal belastet werden?;100 % der Nennleistung;80 % der Nennleistung*;30 % der Nennleistung
Gold;Satz C;In welcher Stellung muss der Choke bei Inbetriebnahme des kalten Motors des tragbaren Stromerzeugers ohne Startautomatik stehen?;Herausgezogen (geschlossen);Eingeschoben (offen);Mittelstellung
Gold;Satz C;Wie wird der Motor des tragbaren Stromerzeugers stillgesetzt (für kurzzeitige Außerbetriebnahme)?;Zündkabel abziehen;Luftklappe schließen;Unterbrecherknopf betätigen
Gold;Satz C;Welche der aufgeführten Werkzeuge sind Holzbearbeitungswerkzeuge?;Zugmesser*;Spitzmeißel;Stangen-Schlangenbohrer*
Gold;Satz C;Welche Handschuhe dürfen auf keinen Fall bei der Steinbearbeitung getragen werden?;Hitzeschutzhandschuhe;Gummihandschuhe;Lederschutzhandschuhe (Stulpe) oder Einsatzhandschuhe
Gold;Satz C;Welche Handschuhe dürfen auf keinen Fall bei der Steinbearbeitung getragen werden?;Hitzeschutzhandschuhe;Gummihandschuhe;Lederschutzhandschuhe (Stulpe) oder Einsatzhandschuhe
Gold;Satz C;Was ist beim Standortwechsel mit dem Elektro-Trennschleifer zu beachten?;Finger nicht am Ein-/Ausschalter halten;Vorher Trennscheibe ausbauen;Gerät ausschalten
Gold;Satz C;Mit welcher Umdrehungszahl der Trennscheibe sind Trennschleifer an das Werkstück anzusetzen?;Bei Stillstand;Bei Anlaufdrehzahl;Bei Höchstdrehzahl*
Gold;Satz C;Mit welcher Trennscheibe darf Aluminium durchtrennt werden?;Kunstharztrennscheibe Metall*;Kunstharztrennscheibe Asphalt;Kunstharztrennscheibe Stein
Gold;Satz C;An welchem Druck-, Kraft-, Hebezeug kann ein Schnellstopp durchgeführt werden?;Am Hebekissen;Am Zuggerät;Am Hebe-/Pressgerät, hydraulisch*
